date,facility_id,medication_id,category,regime,demand_units,stock_on_hand,closing_stock,units_received,lead_time_days,procurement_cycle_days,supplier_stockout,expiry_date,seasonal_mult,dow,month,year,unmet_demand_today,stockout_flag,unmet_demand
2022-02-05,F001,M001,Antimalarial,surge,49,1298,1249,0,20,85,0,2023-12-14,1.2,5,2,2022,0,0,0
2022-02-06,F001,M001,Antimalarial,surge,31,1249,1218,0,12,73,0,2023-04-29,1.2,6,2,2022,0,0,0
2022-02-07,F001,M001,Antimalarial,surge,116,1218,1102,0,17,80,1,2022-05-24,1.2,0,2,2022,0,0,0
2022-02-08,F001,M001,Antimalarial,surge,108,1102,994,0,14,75,0,2023-11-07,1.2,1,2,2022,0,0,0
2022-02-09,F001,M001,Antimalarial,surge,100,994,894,0,16,73,0,2023-11-08,1.2,2,2,2022,0,0,0
2022-02-10,F001,M001,Antimalarial,surge,96,894,798,0,14,79,0,2022-05-24,1.2,3,2,2022,0,0,0
2022-02-11,F001,M001,Antimalarial,surge,79,798,719,0,13,81,0,2022-06-21,1.2,4,2,2022,0,0,0
2022-02-12,F001,M001,Antimalarial,surge,66,719,653,0,15,68,0,2022-03-28,1.2,5,2,2022,0,0,0
2022-02-13,F001,M001,Antimalarial,surge,18,653,635,0,10,76,0,2022-12-15,1.2,6,2,2022,0,0,0
2022-02-14,F001,M001,Antimalarial,surge,92,635,543,0,25,81,1,2022-07-21,1.2,0,2,2022,0,0,0
2022-02-15,F001,M001,Antimalarial,surge,89,543,454,0,19,73,1,2022-12-03,1.2,1,2,2022,0,0,0
2022-02-16,F001,M001,Antimalarial,surge,98,454,2786,2430,24,64,0,2022-05-26,1.2,2,2,2022,0,0,0
2022-02-17,F001,M001,Antimalarial,surge,106,2786,2680,0,23,67,0,2023-03-13,1.2,3,2,2022,0,0,0
2022-02-18,F001,M001,Antimalarial,surge,110,2680,2570,0,16,77,0,2022-06-25,1.2,4,2,2022,0,0,0
2022-02-19,F001,M001,Antimalarial,surge,53,2570,2517,0,14,72,0,2022-11-05,1.2,5,2,2022,0,0,0
2022-02-20,F001,M001,Antimalarial,surge,27,2517,2490,0,15,85,0,2023-02-21,1.2,6,2,2022,0,0,0
2022-02-21,F001,M001,Antimalarial,stable,50,2490,2440,0,22,77,0,2023-03-30,1.2,0,2,2022,0,0,0
2022-02-22,F001,M001,Antimalarial,stable,57,2440,2383,0,20,69,0,2023-11-16,1.2,1,2,2022,0,0,0
2022-02-23,F001,M001,Antimalarial,stable,45,2383,2338,0,10,78,0,2024-01-09,1.2,2,2,2022,0,0,0
2022-02-24,F001,M001,Antimalarial,stable,61,2338,2277,0,21,80,0,2022-09-19,1.2,3,2,2022,0,0,0
2022-02-25,F001,M001,Antimalarial,stable,56,2277,2221,0,18,68,0,2023-05-01,1.2,4,2,2022,0,0,0
2022-02-26,F001,M001,Antimalarial,stable,29,2221,2192,0,20,80,0,2023-05-21,1.2,5,2,2022,0,0,0
2022-02-27,F001,M001,Antimalarial,stable,24,2192,2168,0,11,66,0,2023-01-16,1.2,6,2,2022,0,0,0
2022-02-28,F001,M001,Antimalarial,stable,61,2168,2107,0,14,83,0,2022-10-05,1.2,0,2,2022,0,0,0
2022-03-01,F001,M001,Antimalarial,stable,64,2107,2043,0,12,68,0,2023-01-31,1.5,1,3,2022,0,0,0
2022-03-02,F001,M001,Antimalarial,stable,65,2043,1978,0,17,84,0,2023-03-02,1.5,2,3,2022,0,0,0
2022-03-03,F001,M001,Antimalarial,stable,65,1978,1913,0,19,85,0,2023-11-18,1.5,3,3,2022,0,0,0
2022-03-04,F001,M001,Antimalarial,stable,71,1913,1842,0,17,78,1,2023-02-15,1.5,4,3,2022,0,0,0
2022-03-05,F001,M001,Antimalarial,stable,44,1842,1798,0,15,74,0,2024-01-06,1.5,5,3,2022,0,0,0
2022-03-06,F001,M001,Antimalarial,stable,24,1798,1774,0,28,82,0,2023-11-11,1.5,6,3,2022,0,0,0
2022-03-07,F001,M001,Antimalarial,stable,72,1774,1702,0,10,83,0,2022-09-21,1.5,0,3,2022,0,0,0
2022-03-08,F001,M001,Antimalarial,stable,58,1702,1644,0,12,83,0,2022-05-02,1.5,1,3,2022,0,0,0
2022-03-09,F001,M001,Antimalarial,stable,70,1644,1574,0,13,81,0,2023-10-20,1.5,2,3,2022,0,0,0
2022-03-10,F001,M001,Antimalarial,stable,83,1574,1491,0,19,81,0,2022-08-28,1.5,3,3,2022,0,0,0
2022-03-11,F001,M001,Antimalarial,stable,57,1491,1434,0,20,77,0,2022-07-27,1.5,4,3,2022,0,0,0
2022-03-12,F001,M001,Antimalarial,stable,42,1434,1392,0,13,78,0,2023-06-13,1.5,5,3,2022,0,0,0
2022-03-13,F001,M001,Antimalarial,stable,11,1392,1381,0,9,82,0,2022-08-11,1.5,6,3,2022,0,0,0
2022-03-14,F001,M001,Antimalarial,stable,55,1381,1326,0,27,74,0,2023-07-02,1.5,0,3,2022,0,0,0
2022-03-15,F001,M001,Antimalarial,stable,69,1326,1257,0,25,71,0,2023-08-16,1.5,1,3,2022,0,0,0
2022-03-16,F001,M001,Antimalarial,stable,71,1257,1186,0,11,75,0,2023-03-12,1.5,2,3,2022,0,0,0
2022-03-17,F001,M001,Antimalarial,stable,56,1186,1130,0,13,71,0,2023-06-17,1.5,3,3,2022,0,0,0
2022-03-18,F001,M001,Antimalarial,stable,71,1130,1059,0,15,69,0,2022-11-24,1.5,4,3,2022,0,0,0
2022-03-19,F001,M001,Antimalarial,stable,37,1059,1022,0,17,76,0,2023-07-15,1.5,5,3,2022,0,0,0
2022-03-20,F001,M001,Antimalarial,stable,22,1022,4037,3037,21,75,0,2023-07-01,1.5,6,3,2022,0,0,0
2022-03-21,F001,M001,Antimalarial,stable,64,4037,3973,0,20,82,0,2023-04-07,1.5,0,3,2022,0,0,0
2022-03-22,F001,M001,Antimalarial,stable,68,3973,3905,0,14,81,0,2022-07-11,1.5,1,3,2022,0,0,0
2022-03-23,F001,M001,Antimalarial,stable,53,3905,3852,0,9,71,0,2022-08-21,1.5,2,3,2022,0,0,0
2022-03-24,F001,M001,Antimalarial,stable,63,3852,3789,0,8,81,0,2023-01-08,1.5,3,3,2022,0,0,0
2022-03-25,F001,M001,Antimalarial,stable,58,3789,3731,0,11,72,0,2024-03-20,1.5,4,3,2022,0,0,0
2022-03-26,F001,M001,Antimalarial,stable,43,3731,3688,0,19,78,0,2023-07-17,1.5,5,3,2022,0,0,0
2022-03-27,F001,M001,Antimalarial,stable,21,3688,3667,0,12,81,0,2023-05-20,1.5,6,3,2022,0,0,0
2022-03-28,F001,M001,Antimalarial,stable,58,3667,3609,0,15,66,0,2023-02-24,1.5,0,3,2022,0,0,0
2022-03-29,F001,M001,Antimalarial,stable,67,3609,3542,0,12,83,0,2022-10-07,1.5,1,3,2022,0,0,0
2022-03-30,F001,M001,Antimalarial,stable,63,3542,3479,0,17,74,0,2022-10-16,1.5,2,3,2022,0,0,0
2022-03-31,F001,M001,Antimalarial,stable,77,3479,3402,0,18,77,0,2022-06-09,1.5,3,3,2022,0,0,0
2022-04-01,F001,M001,Antimalarial,stable,87,3402,3315,0,14,81,0,2023-10-21,2.0,4,4,2022,0,0,0
2022-04-02,F001,M001,Antimalarial,stable,58,3315,3257,0,24,76,0,2022-12-26,2.0,5,4,2022,0,0,0
2022-04-03,F001,M001,Antimalarial,stable,27,3257,3230,0,11,73,0,2023-07-18,2.0,6,4,2022,0,0,0
2022-04-04,F001,M001,Antimalarial,stable,80,3230,3150,0,12,63,0,2023-03-13,2.0,0,4,2022,0,0,0
2022-04-05,F001,M001,Antimalarial,stable,85,3150,3065,0,8,71,0,2023-07-22,2.0,1,4,2022,0,0,0
2022-04-06,F001,M001,Antimalarial,stable,90,3065,2975,0,24,78,0,2023-11-04,2.0,2,4,2022,0,0,0
2022-04-07,F001,M001,Antimalarial,stable,103,2975,2872,0,20,74,0,2023-08-07,2.0,3,4,2022,0,0,0
2022-04-08,F001,M001,Antimalarial,stable,84,2872,2788,0,20,72,0,2022-06-05,2.0,4,4,2022,0,0,0
2022-04-09,F001,M001,Antimalarial,stable,56,2788,2732,0,27,74,0,2023-02-21,2.0,5,4,2022,0,0,0
2022-04-10,F001,M001,Antimalarial,stable,32,2732,2700,0,17,80,0,2023-12-06,2.0,6,4,2022,0,0,0
2022-04-11,F001,M001,Antimalarial,stable,69,2700,2631,0,19,78,0,2024-01-06,2.0,0,4,2022,0,0,0
2022-04-12,F001,M001,Antimalarial,stable,97,2631,2534,0,9,70,0,2024-01-02,2.0,1,4,2022,0,0,0
2022-04-13,F001,M001,Antimalarial,stable,95,2534,2439,0,15,83,0,2022-10-26,2.0,2,4,2022,0,0,0
2022-04-14,F001,M001,Antimalarial,surge,178,2439,2261,0,24,71,0,2023-02-15,2.0,3,4,2022,0,0,0
2022-04-15,F001,M001,Antimalarial,surge,154,2261,2107,0,13,66,0,2023-09-29,2.0,4,4,2022,0,0,0
2022-04-16,F001,M001,Antimalarial,surge,84,2107,2023,0,12,76,0,2023-09-18,2.0,5,4,2022,0,0,0
2022-04-17,F001,M001,Antimalarial,surge,51,2023,1972,0,26,74,0,2023-01-27,2.0,6,4,2022,0,0,0
2022-04-18,F001,M001,Antimalarial,surge,139,1972,1833,0,9,74,0,2023-01-13,2.0,0,4,2022,0,0,0
2022-04-19,F001,M001,Antimalarial,stable,88,1833,1745,0,20,75,0,2024-02-05,2.0,1,4,2022,0,0,0
2022-04-20,F001,M001,Antimalarial,stable,83,1745,1662,0,24,75,0,2023-07-07,2.0,2,4,2022,0,0,0
2022-04-21,F001,M001,Antimalarial,stable,95,1662,1567,0,13,72,0,2024-01-23,2.0,3,4,2022,0,0,0
2022-04-22,F001,M001,Antimalarial,stable,84,1567,1483,0,21,80,0,2023-04-20,2.0,4,4,2022,0,0,0
2022-04-23,F001,M001,Antimalarial,stable,56,1483,1427,0,17,66,0,2024-03-21,2.0,5,4,2022,0,0,0
2022-04-24,F001,M001,Antimalarial,stable,27,1427,1400,0,9,85,0,2022-06-21,2.0,6,4,2022,0,0,0
2022-04-25,F001,M001,Antimalarial,stable,83,1400,1317,0,15,75,0,2022-06-29,2.0,0,4,2022,0,0,0
2022-04-26,F001,M001,Antimalarial,stable,77,1317,1240,0,10,78,0,2022-12-23,2.0,1,4,2022,0,0,0
2022-04-27,F001,M001,Antimalarial,stable,88,1240,1152,0,7,67,0,2022-05-27,2.0,2,4,2022,0,0,0
2022-04-28,F001,M001,Antimalarial,stable,91,1152,5111,4050,14,73,0,2024-01-06,2.0,3,4,2022,0,0,0
2022-04-29,F001,M001,Antimalarial,stable,83,5111,5028,0,13,74,0,2022-11-04,2.0,4,4,2022,0,0,0
2022-04-30,F001,M001,Antimalarial,stable,46,5028,4982,0,9,74,0,2022-09-12,2.0,5,4,2022,0,0,0
2022-05-01,F001,M001,Antimalarial,stable,17,4982,4965,0,24,62,0,2022-06-21,2.2,6,5,2022,0,0,0
2022-05-02,F001,M001,Antimalarial,stable,85,4965,4880,0,13,76,0,2024-01-16,2.2,0,5,2022,0,0,0
2022-05-03,F001,M001,Antimalarial,stable,103,4880,4777,0,20,81,0,2024-03-06,2.2,1,5,2022,0,0,0
2022-05-04,F001,M001,Antimalarial,stable,98,4777,4679,0,27,72,0,2023-01-11,2.2,2,5,2022,0,0,0
2022-05-05,F001,M001,Antimalarial,stable,109,4679,4570,0,12,73,0,2022-07-28,2.2,3,5,2022,0,0,0
2022-05-06,F001,M001,Antimalarial,stable,106,4570,4464,0,20,71,0,2023-07-25,2.2,4,5,2022,0,0,0
2022-05-07,F001,M001,Antimalarial,stable,45,4464,4419,0,19,68,0,2024-04-30,2.2,5,5,2022,0,0,0
2022-05-08,F001,M001,Antimalarial,stable,23,4419,4396,0,23,75,0,2022-12-15,2.2,6,5,2022,0,0,0
2022-05-09,F001,M001,Antimalarial,stable,77,4396,4319,0,13,77,0,2022-06-20,2.2,0,5,2022,0,0,0
2022-05-10,F001,M001,Antimalarial,stable,102,4319,4217,0,23,70,0,2023-07-01,2.2,1,5,2022,0,0,0
2022-05-11,F001,M001,Antimalarial,stable,97,4217,4120,0,19,76,0,2024-04-28,2.2,2,5,2022,0,0,0
2022-05-12,F001,M001,Antimalarial,stable,97,4120,4023,0,8,80,0,2023-03-23,2.2,3,5,2022,0,0,0
2022-05-13,F001,M001,Antimalarial,stable,84,4023,3939,0,15,78,0,2024-04-15,2.2,4,5,2022,0,0,0
2022-05-14,F001,M001,Antimalarial,stable,47,3939,3892,0,22,83,0,2023-05-07,2.2,5,5,2022,0,0,0
2022-05-15,F001,M001,Antimalarial,stable,28,3892,3864,0,20,79,0,2023-07-17,2.2,6,5,2022,0,0,0
2022-05-16,F001,M001,Antimalarial,stable,85,3864,3779,0,22,80,0,2022-11-05,2.2,0,5,2022,0,0,0
2022-05-17,F001,M001,Antimalarial,stable,107,3779,3672,0,27,73,0,2024-02-27,2.2,1,5,2022,0,0,0
2022-05-18,F001,M001,Antimalarial,stable,97,3672,3575,0,18,76,0,2023-08-12,2.2,2,5,2022,0,0,0
2022-05-19,F001,M001,Antimalarial,stable,119,3575,3456,0,12,73,0,2022-09-17,2.2,3,5,2022,0,0,0
2022-05-20,F001,M001,Antimalarial,stable,88,3456,3368,0,14,85,0,2022-08-27,2.2,4,5,2022,0,0,0
2022-05-21,F001,M001,Antimalarial,stable,50,3368,3318,0,12,75,0,2022-12-18,2.2,5,5,2022,0,0,0
2022-05-22,F001,M001,Antimalarial,stable,30,3318,3288,0,13,71,0,2024-02-24,2.2,6,5,2022,0,0,0
2022-05-23,F001,M001,Antimalarial,stable,81,3288,3207,0,14,75,0,2024-02-04,2.2,0,5,2022,0,0,0
2022-05-24,F001,M001,Antimalarial,stable,103,3207,3104,0,12,70,0,2024-02-09,2.2,1,5,2022,0,0,0
2022-05-25,F001,M001,Antimalarial,stable,102,3104,3002,0,13,72,0,2023-12-08,2.2,2,5,2022,0,0,0
2022-05-26,F001,M001,Antimalarial,stable,108,3002,2894,0,25,67,0,2022-09-03,2.2,3,5,2022,0,0,0
2022-05-27,F001,M001,Antimalarial,stable,92,2894,2802,0,12,73,0,2022-12-14,2.2,4,5,2022,0,0,0
2022-05-28,F001,M001,Antimalarial,stable,65,2802,2737,0,16,70,0,2022-10-17,2.2,5,5,2022,0,0,0
2022-05-29,F001,M001,Antimalarial,stable,35,2737,2702,0,16,75,0,2023-04-28,2.2,6,5,2022,0,0,0
2022-05-30,F001,M001,Antimalarial,stable,87,2702,2615,0,25,74,0,2022-10-21,2.2,0,5,2022,0,0,0
2022-05-31,F001,M001,Antimalarial,stable,101,2615,2514,0,13,63,0,2024-04-01,2.2,1,5,2022,0,0,0
2022-06-01,F001,M001,Antimalarial,stable,59,2514,2455,0,15,73,0,2022-11-09,1.4,2,6,2022,0,0,0
2022-06-02,F001,M001,Antimalarial,stable,69,2455,2386,0,11,84,0,2022-08-06,1.4,3,6,2022,0,0,0
2022-06-03,F001,M001,Antimalarial,stable,60,2386,2326,0,18,79,0,2022-11-28,1.4,4,6,2022,0,0,0
2022-06-04,F001,M001,Antimalarial,stable,45,2326,2281,0,18,61,0,2023-01-16,1.4,5,6,2022,0,0,0
2022-06-05,F001,M001,Antimalarial,stable,10,2281,2271,0,11,68,0,2023-04-06,1.4,6,6,2022,0,0,0
2022-06-06,F001,M001,Antimalarial,stable,77,2271,2194,0,19,74,0,2023-08-29,1.4,0,6,2022,0,0,0
2022-06-07,F001,M001,Antimalarial,stable,63,2194,2131,0,14,68,0,2024-02-19,1.4,1,6,2022,0,0,0
2022-06-08,F001,M001,Antimalarial,stable,75,2131,2056,0,28,75,0,2023-02-04,1.4,2,6,2022,0,0,0
2022-06-09,F001,M001,Antimalarial,stable,81,2056,1975,0,20,73,0,2023-11-24,1.4,3,6,2022,0,0,0
2022-06-10,F001,M001,Antimalarial,stable,64,1975,1911,0,15,77,0,2023-04-21,1.4,4,6,2022,0,0,0
2022-06-11,F001,M001,Antimalarial,stable,34,1911,1877,0,10,77,0,2023-10-18,1.4,5,6,2022,0,0,0
2022-06-12,F001,M001,Antimalarial,stable,15,1877,1862,0,22,70,0,2022-10-10,1.4,6,6,2022,0,0,0
2022-06-13,F001,M001,Antimalarial,stable,58,1862,1804,0,13,77,0,2022-12-01,1.4,0,6,2022,0,0,0
2022-06-14,F001,M001,Antimalarial,stable,64,1804,1740,0,25,76,0,2023-09-24,1.4,1,6,2022,0,0,0
2022-06-15,F001,M001,Antimalarial,stable,61,1740,1679,0,8,73,0,2023-09-15,1.4,2,6,2022,0,0,0
2022-06-16,F001,M001,Antimalarial,stable,62,1679,1617,0,22,72,0,2023-06-23,1.4,3,6,2022,0,0,0
2022-06-17,F001,M001,Antimalarial,stable,67,1617,1550,0,13,83,0,2024-02-27,1.4,4,6,2022,0,0,0
2022-06-18,F001,M001,Antimalarial,stable,40,1550,1510,0,16,74,0,2023-10-12,1.4,5,6,2022,0,0,0
2022-06-19,F001,M001,Antimalarial,stable,16,1510,1494,0,17,73,0,2024-02-10,1.4,6,6,2022,0,0,0
2022-06-20,F001,M001,Antimalarial,stable,74,1494,1420,0,8,72,0,2024-02-27,1.4,0,6,2022,0,0,0
2022-06-21,F001,M001,Antimalarial,stable,53,1420,1367,0,11,73,0,2022-12-02,1.4,1,6,2022,0,0,0
2022-06-22,F001,M001,Antimalarial,stable,54,1367,1313,0,18,84,0,2022-09-08,1.4,2,6,2022,0,0,0
2022-06-23,F001,M001,Antimalarial,stable,53,1313,1260,0,13,82,0,2022-10-09,1.4,3,6,2022,0,0,0
2022-06-24,F001,M001,Antimalarial,stable,72,1260,1188,0,15,75,0,2023-11-16,1.4,4,6,2022,0,0,0
2022-06-25,F001,M001,Antimalarial,stable,26,1188,1162,0,27,71,0,2023-05-18,1.4,5,6,2022,0,0,0
2022-06-26,F001,M001,Antimalarial,stable,17,1162,1145,0,22,81,0,2023-03-08,1.4,6,6,2022,0,0,0
2022-06-27,F001,M001,Antimalarial,surge,123,1145,1022,0,17,83,0,2024-04-02,1.4,0,6,2022,0,0,0
2022-06-28,F001,M001,Antimalarial,surge,98,1022,924,0,18,65,1,2022-07-28,1.4,1,6,2022,0,0,0
2022-06-29,F001,M001,Antimalarial,surge,112,924,812,0,10,77,0,2022-11-23,1.4,2,6,2022,0,0,0
2022-06-30,F001,M001,Antimalarial,surge,126,812,3520,2834,24,66,0,2023-12-28,1.4,3,6,2022,0,0,0
2022-07-01,F001,M001,Antimalarial,surge,83,3520,3437,0,18,79,0,2023-04-14,1.1,4,7,2022,0,0,0
2022-07-02,F001,M001,Antimalarial,surge,43,3437,3394,0,22,67,0,2022-12-02,1.1,5,7,2022,0,0,0
2022-07-03,F001,M001,Antimalarial,surge,20,3394,3374,0,17,73,0,2024-06-14,1.1,6,7,2022,0,0,0
2022-07-04,F001,M001,Antimalarial,surge,103,3374,3271,0,14,77,0,2023-12-30,1.1,0,7,2022,0,0,0
2022-07-05,F001,M001,Antimalarial,surge,92,3271,3179,0,24,78,1,2022-09-07,1.1,1,7,2022,0,0,0
2022-07-06,F001,M001,Antimalarial,surge,93,3179,3086,0,14,73,0,2024-03-05,1.1,2,7,2022,0,0,0
2022-07-07,F001,M001,Antimalarial,stable,51,3086,3035,0,13,75,0,2023-09-04,1.1,3,7,2022,0,0,0
2022-07-08,F001,M001,Antimalarial,stable,54,3035,2981,0,7,69,0,2023-11-02,1.1,4,7,2022,0,0,0
2022-07-09,F001,M001,Antimalarial,stable,22,2981,2959,0,16,74,0,2022-09-18,1.1,5,7,2022,0,0,0
2022-07-10,F001,M001,Antimalarial,stable,11,2959,2948,0,12,77,0,2022-10-17,1.1,6,7,2022,0,0,0
2022-07-11,F001,M001,Antimalarial,stable,43,2948,2905,0,12,67,0,2023-03-22,1.1,0,7,2022,0,0,0
2022-07-12,F001,M001,Antimalarial,stable,47,2905,2858,0,14,70,0,2023-01-01,1.1,1,7,2022,0,0,0
2022-07-13,F001,M001,Antimalarial,stable,39,2858,2819,0,11,76,0,2024-03-30,1.1,2,7,2022,0,0,0
2022-07-14,F001,M001,Antimalarial,stable,33,2819,2786,0,14,85,0,2024-02-28,1.1,3,7,2022,0,0,0
2022-07-15,F001,M001,Antimalarial,stable,50,2786,2736,0,26,73,0,2023-09-27,1.1,4,7,2022,0,0,0
2022-07-16,F001,M001,Antimalarial,stable,20,2736,2716,0,12,66,0,2023-10-01,1.1,5,7,2022,0,0,0
2022-07-17,F001,M001,Antimalarial,stable,13,2716,2703,0,15,77,0,2024-05-29,1.1,6,7,2022,0,0,0
2022-07-18,F001,M001,Antimalarial,stable,48,2703,2655,0,15,76,0,2023-11-21,1.1,0,7,2022,0,0,0
2022-07-19,F001,M001,Antimalarial,stable,51,2655,2604,0,14,73,0,2022-12-12,1.1,1,7,2022,0,0,0
2022-07-20,F001,M001,Antimalarial,stable,55,2604,2549,0,12,75,0,2023-02-15,1.1,2,7,2022,0,0,0
2022-07-21,F001,M001,Antimalarial,surge,93,2549,2456,0,10,85,0,2024-05-27,1.1,3,7,2022,0,0,0
2022-07-22,F001,M001,Antimalarial,surge,92,2456,2364,0,10,78,0,2022-09-08,1.1,4,7,2022,0,0,0
2022-07-23,F001,M001,Antimalarial,surge,49,2364,2315,0,8,80,0,2024-04-28,1.1,5,7,2022,0,0,0
2022-07-24,F001,M001,Antimalarial,stable,13,2315,2302,0,13,68,0,2023-08-05,1.1,6,7,2022,0,0,0
2022-07-25,F001,M001,Antimalarial,stable,43,2302,2259,0,23,72,0,2024-03-13,1.1,0,7,2022,0,0,0
2022-07-26,F001,M001,Antimalarial,stable,50,2259,2209,0,27,76,0,2023-05-10,1.1,1,7,2022,0,0,0
2022-07-27,F001,M001,Antimalarial,stable,48,2209,2161,0,21,81,0,2023-03-26,1.1,2,7,2022,0,0,0
2022-07-28,F001,M001,Antimalarial,stable,59,2161,2102,0,16,74,0,2022-12-19,1.1,3,7,2022,0,0,0
2022-07-29,F001,M001,Antimalarial,stable,54,2102,2048,0,18,64,0,2023-08-28,1.1,4,7,2022,0,0,0
2022-07-30,F001,M001,Antimalarial,stable,23,2048,2025,0,12,72,0,2024-06-22,1.1,5,7,2022,0,0,0
2022-07-31,F001,M001,Antimalarial,stable,14,2025,2011,0,26,66,0,2024-04-30,1.1,6,7,2022,0,0,0
2022-08-01,F001,M001,Antimalarial,stable,48,2011,1963,0,15,64,0,2024-07-26,1.0,0,8,2022,0,0,0
2022-08-02,F001,M001,Antimalarial,stable,62,1963,1901,0,19,71,0,2022-10-02,1.0,1,8,2022,0,0,0
2022-08-03,F001,M001,Antimalarial,stable,36,1901,1865,0,22,68,0,2024-06-04,1.0,2,8,2022,0,0,0
2022-08-04,F001,M001,Antimalarial,stable,47,1865,1818,0,15,65,0,2023-04-08,1.0,3,8,2022,0,0,0
2022-08-05,F001,M001,Antimalarial,stable,39,1818,1779,0,26,66,0,2024-01-12,1.0,4,8,2022,0,0,0
2022-08-06,F001,M001,Antimalarial,stable,26,1779,1753,0,23,86,0,2023-08-09,1.0,5,8,2022,0,0,0
2022-08-07,F001,M001,Antimalarial,stable,13,1753,1740,0,14,73,0,2022-10-30,1.0,6,8,2022,0,0,0
